category	owner	path	excerpt	count
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/import_region_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_authority_issuring_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_label_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_land_use_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_layer_family_grpc_handler.go	return _errors.ToGRPC(_errors.ReturnError(	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_layer_family_grpc_handler.go	return _errors.ToGRPC(err)	2
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_layer_family_grpc_handler.go	"return _errors.ToGRPC(fmt.Errorf(""build family PMTiles: %w"", err))"	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/qh_layer_legend_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/region_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/workspace_map_grpc_handler.go	return _errors.ToGRPC(_errors.ReturnError(	1
go.direct_grpc_error_projection	tqd-service	tqd-service/infra/handler/grpc/workspace_map_grpc_handler.go	return _errors.ToGRPC(err)	1
go.direct_grpc_error_projection	user-service	user-service/infra/handler/grpc/plan_version_admin.go	return _errors.ToGRPC(err)	1
go.legacy_numeric_return_error	organization-service	organization-service/internal/usecase/deal_invitation_usecase.go	"return _errors.ReturnError(400, ""invitation is not in pending status"")"	1
go.legacy_numeric_return_error	organization-service	organization-service/internal/usecase/deal_invitation_usecase.go	"return nil, _errors.ReturnError(400, ""invitation already exists for this user"")"	1
go.legacy_shared_error_response	shared/common	shared/common/errors/legacy_grpc.go	detail := &sharepb.ErrorResponse{	1
go.legacy_shared_error_response	shared/common	shared/common/errors/legacy_grpc.go	if response, matched := detail.(*sharepb.ErrorResponse); matched {	1
go.legacy_std_log	map-service	map-service/env/runtime.go	"log.Println(""Environment loaded successfully"")"	1
